pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
10.0,-19,-1.0,1027.0,1,51.84,0,0
11.0,-18,-1.0,1028.0,1,61.67,0,0
20.0,-17,-1.0,1028.0,1,70.61,0,0
9.0,-17,-1.0,1029.0,1,81.79,0,0
8.0,-19,-2.0,1030.0,1,94.75,0,0
9.0,-21,-3.0,1030.0,1,109.95,0,0
8.0,-23,-4.0,1032.0,1,130.07,0,0
8.0,-22,-5.0,1034.0,1,143.03,0,0
8.0,-22,-5.0,1034.0,1,150.18,0,0
8.0,-22,-3.0,1034.0,1,155.99,0,0
7.0,-22,-2.0,1034.0,1,163.14,0,0
12.0,-22,-2.0,1034.0,1,170.29,0,0
17.0,-22,0.0,1033.0,1,177.44,0,0
11.0,-27,0.0,1032.0,1,186.38,0,0
9.0,-27,1.0,1032.0,1,196.21,0,0
11.0,-26,1.0,1032.0,1,205.15,0,0
8.0,-23,0.0,1032.0,1,214.09,0,0
9.0,-22,-1.0,1033.0,1,221.24,0,0
10.0,-22,-2.0,1033.0,1,226.16,0,0
8.0,-23,-2.0,1034.0,1,231.97,0,0
10.0,-22,-3.0,1034.0,1,237.78,0,0
10.0,-22,-3.0,1034.0,1,242.7,0,0
8.0,-22,-4.0,1034.0,1,246.72,0,0
12.0,-21,-3.0,1034.0,1,249.85,0,0
